titel;beschreibung;postleitzahl;stadt;zeit
['Waschmaschine BEKO AAA-Klasse'];['Ich biete hier eine alte - über 15 Jahre - Waschmaschine der Firma BEKO an. Sie hat eine AAA –...'];48157;['Sprakel'];18.07.2020   2020-07-23
['Puppenstube Puppenhaus renovierungsbedürftig'];['Alte Puppenstube zum selbst renovieren zu verschenken!', 'Abholung in MS St.Mauritz'];48155;['Mauritz'];18.07.2020   2020-07-23
['Steuerplatine Waschmaschime Gorenje WA50EX'];['Ich suche eine Steuerplatine für eine Waschmaschine,', 'Typ Gorenje WA50EX'];48165;['Hiltrup'];18.07.2020   2020-07-23
['Telefon gesucht'];['Hallo suche ein Telefon was noch funktionsfähig ist vielleicht hat jemand noch eins was er nicht...'];48163;['Mecklenbeck'];18.07.2020   2020-07-23
['Bettrahmen mit Lattenrost für eine Person'];['Bettrahmen mit integriertem Lattenrost (in gutem Zustand) für eine Person. Maße 1,95x0,90m. Zu...'];48163;['Geist'];17.07.2020   2020-07-23
['Kuscheltiere zu verschenken'];['Der snoopy ist groß und beides im neuen Zustand, vllt mal waschen aber das wars.', '', 'Solange diese...'];48159;['Kinderhaus'];17.07.2020   2020-07-23
['Straßen Puzzle'];['Zusammenstecken und losfahren!'];48153;['Centrum'];17.07.2020   2020-07-23
['Kostüme und Verkleidung'];['Verschiedene Kostüme abzugeben'];48151;['Centrum'];17.07.2020   2020-07-23
['Gartenstuhl'];['Gebraucht und sehr stabil!'];48153;['Centrum'];17.07.2020   2020-07-23
['Glass Tisch'];['Gebrauchsspuren vorhanden ...', 'Glassplatte ist sehr schwer ..'];48165;['Hiltrup'];17.07.2020   2020-07-23
['Tagebuch einer Sehnsüchtigen'];['Stand lange bei mir im Schrank. Kann gegen Bezahlung auch verschickt werden'];48161;['Gievenbeck'];17.07.2020   2020-07-23
['Flammender Stern Pferdebuch'];['Stand lange bei mir im Schrank. Kann gegen Bezahlung auch verschickt werden'];48161;['Gievenbeck'];17.07.2020   2020-07-23
['Das Leben ist voll hart'];['Stand lange bei mir im Schrank. Kann gegen Bezahlung auch verschickt werden'];48161;['Gievenbeck'];17.07.2020   2020-07-23
['Was tun ?!'];['Stand lange bei mir im Schrank. Kann gegen Bezahlung auch verschickt werden'];48161;['Gievenbeck'];17.07.2020   2020-07-23
['Wendy Zuflucht auf Lindenhöhe'];['Sieht aus wie neu . Stand lange bei mir im Schrank. Kann gegen Bezahlung auch verschickt werden'];48161;['Gievenbeck'];17.07.2020   2020-07-23
['Weltrekorde in sechs Tagen'];['Sieht aus wie neu . Stand lange bei mir im Schrank. Kann gegen Bezahlung auch verschickt werden'];48161;['Gievenbeck'];17.07.2020   2020-07-23
['Küchenschrank'];['Hallo ich verschenke 2 Küchenschränke da ich eine neue Küche habe.', '', 'An selbstabholer :) einfach...'];48157;['Coerde'];17.07.2020   2020-07-23
['Doppelkopf Runde Gesucht Nette Leute treffen'];['Suche paar nette Leute die Lust drauf haben sich regelmässig zu treffen und gerne Doppelkopf...'];48157;['Handorf'];17.07.2020   2020-07-23
['Teppich 100 %Schurwolle'];['Vorschlag. 1 Tafel Herbe Sahne Schokolade von Aldi.', '', 'Farbe Rost. 100 % Schurwolle. 120 x 180 cm....'];48165;['Hiltrup'];17.07.2020   2020-07-23
['Rewe sammelbilder'];['Ich suche noch Glitzer Bilder und habe ein paar Glitzer Bilder und jede Menge normale zum tauschen'];48165;['Angelmodde'];17.07.2020   2020-07-23
['Kommode skandinavisches Design'];['Angeboten wird zur Selbstabholung eine Kommode , die noch in Top-Zustand ist.', 'Keine Lieferung - Nur...'];48155;['Centrum'];17.07.2020   2020-07-23
['Schöner Wohnzimmerschrank - skandinavisches Design'];['Für Selbstabholer: der oben abgebildete Schrank ist zum Verschenken abzugeben und noch in einem...'];48155;['Centrum'];17.07.2020   2020-07-23
['Bücher Medizin zu verschenken'];['Werden nicht mehr benötigt'];48147;['Centrum'];17.07.2020   2020-07-23
['Gläser und diverses'];['Diverse Gläser'];48153;['Berg Fidel'];17.07.2020   2020-07-23
['4 Herren Gebrauch Schuhe'];['Bild 1 Leder Nr.43', 'Bild 2 Nr.41', 'Bild 3 Nr. 40 nur einpaar mal benutz', 'Bild 4 Nr.40'];48161;['Nienberge'];17.07.2020   2020-07-23
['Drummer gesucht'];['....Wir, Musiker, Senioren, aber fit suchen noch einen Schlagzeuger welcher uns unterstützt.', '', 'Gruss'];48165;['Angelmodde'];17.07.2020   2020-07-23
['Schrank zu verschenken!'];['Für weitere Bilder bitte melden!'];48161;['Roxel'];17.07.2020   2020-07-23
['Sofa zu verschenken.'];['Verschenke dieses Sofa mit Schlaffunktion.', 'Die Flecken auf dem Sofa sind Wasserflecken von einer...'];48163;['Geist'];17.07.2020   2020-07-23
['1 blauer Stuhl'];['Ein Stuhl mit Armlehnen ca 45 cm Sitzhöhe,', 'nur Abholung'];48165;['Hiltrup'];17.07.2020   2020-07-23
['Schreibtischplatte'];['Verschenke hier eine weisse Schreibtischplatte von Ikea mit den Maßen 150 x 75 cm. Dazu gehören 2...'];48149;['Sentrup'];17.07.2020   2020-07-23
['Gut erhaltene waschbeton Platten ca. 60 Stck'];['Gut erhaltene waschbeton Platten zu verschenken. Ca 60 Stück. Ab sofort abzuholen.', 'Bei Interesse...'];48155;['Centrum'];17.07.2020   2020-07-23
['Ledersofa (braun) zur Selbstabholung in Münster (Kreuzviertel)'];['Wegen eines Umzugs habe ich ein braunes Ledersofa (Grundfläche 120x90 cm) günstig abzugeben. Das...'];48147;['Centrum'];17.07.2020   2020-07-23
['Tisch mit drei Stühlen (reserviert)'];['Verschenke diesen Tisch 75x75, Höhe 73 cm', 'Und die drei Stühle. Alles in gebrauchtem Zustand!', 'Bei...'];48163;['Amelsbüren'];17.07.2020   2020-07-23
['Matratze 140x200'];['Matratze, ca 6 Jahre alt, relativ hart', 'Zu verschenken'];48163;['Amelsbüren'];17.07.2020   2020-07-23
['Karton mit Gläsern zu verschenken'];['Einfach vorbei kommen und abholen'];48159;['Kinderhaus'];17.07.2020   2020-07-23
['Von AEG Einbau Kühlschrank bis FREITAG!!!'];['Es funktioniert, aber es kühlt nicht.', 'Keine Ruckname Und Keine Garantie'];48163;['Roxel'];17.07.2020   2020-07-23
['Winterboots Größe 29'];['Ich würde gerne diese Winter-Boots Größe 29 gegen eine Packung mit Chupa Chups Lutscher tauschen...'];48159;['Centrum'];17.07.2020   2020-07-23
['Lederhandtasche hellbraun'];['Diese Handtasche ist schön und zeitlos. Sie ist relativ groß und birgt mit einem Extra-Fach in der...'];48149;['Centrum'];17.07.2020   2020-07-23
['Blaue Strickjacke / Sommerjäckchen'];['Diese Strickjacke ist eine schlichte, gemütliche Sommerjacke, die ich einfach nicht mehr trage und...'];48149;['Centrum'];17.07.2020   2020-07-23
['Röhrenfernseher micromaxx MM 5502VTS'];['Funktionsfähiger Fernseher mit Scart und Antennenschluss.'];48153;['Geist'];17.07.2020   2020-07-23
['Handtasche rot'];['Verschenke diese Handtasche aus Nachlass. Sie ist gut erhalten und stammt aus tierfreiem...'];48149;['Centrum'];17.07.2020   2020-07-23
['Kärtchen für KiderFotos Neu dm'];['Kärtchen für KiderFotos Neu dm, ca. 20 Stück.', '', 'Abholung in Handorf-Mitte oder Versand möglich.'];48157;['Handorf'];17.07.2020   2020-07-23
['Pelzy Protect Vlieswindeln'];['Angebrochene Packung zu verschenken, ca 16 Stück'];48163;['Mecklenbeck'];17.07.2020   2020-07-23
['Gummistiefel Größe 30'];['Wir tauschen Gummistiefel in Schuhgröße 30 gegen eine Tüte Haribo Goldbären. Die Schuhe wurden...'];48159;['Centrum'];17.07.2020   2020-07-23
['Verschenke grüne Badewannenmatte'];['BITTE melden Sie sich nur, wenn Sie sie auch wirklich abholen. Es sind mehrfach Menschen einfach...'];48151;['Aaseestadt'];17.07.2020   2020-07-23
['Stabmixer Quelle'];['Leider ist von meinem Stabmixer das Schneidemesser kaputt gegangen. Das Gehäuse funktioniert aber...'];48153;['Centrum'];17.07.2020   2020-07-23
['Viele Kartons zu verschenken'];['Viele Kartons zu verschenken', '', 'Und NEIN, die Spielsachen auf dem Foto werden nicht auch...'];48163;['Albachten'];16.07.2020   2020-07-23
['Alles Mögliche zu verschenken - wird immer wieder aktualisiert !'];['Alles zu verschenken - wird immer wieder aktualisiert !', 'Vorzugsweise immer mehrere Dinge...'];48163;['Albachten'];16.07.2020   2020-07-23
['Expresso Tassen'];['4xExpresso Tassen'];48161;['Roxel'];16.07.2020   2020-07-23
['RESERVIERT weißer Holztisch in Kinderhöhe'];['Der Tisch hat Platz für 8-10 Kinder.', 'Er hat viele Gebrauchsspuren und ist ausziehbar.', 'Abzuholen...'];48153;['Centrum'];16.07.2020   2020-07-23
['Schöner Sekretär'];['Ich verkaufe einen alten, aber schönen Sekretär. Schanier der Tür rechts unten kaputt. Kann...'];48163;['Geist'];16.07.2020   2020-07-23
['Schlafsofa zu verschenken'];['Gebrauchtes Schlafsofa in beige zu verschenken mit deutlichen Mängeln im Stoff, ansonsten voll...'];48149;['Centrum'];16.07.2020   2020-07-23
['4x Sommerreifen Toyota Aygo *NUR NOCH BIS SAMSTAG*'];['Verkaufe 4x Sommerreifen mit Felgen, das Profil ist noch ok.', 'Abzuholen in 48268 Greven.'];48157;['Handorf'];16.07.2020   2020-07-23
['Esszimmerstühle'];['Ich verschenke meine beiden gebrauchten Esszimmerstühle. Die Stühle haben bereits entsprechende...'];48161;['Nienberge'];16.07.2020   2020-07-23
['Betonpflastersteine für Selbstabholer (zu verschenken)'];['Gebrauchte Betonpflastersteine (820 Stück, ca. 16,5 qm, 20 cm x 10 cm x 8 cm) anthrazit, kostenlos...'];48159;['Kinderhaus'];16.07.2020   2020-07-23
['BILLY Bücherregal von IKEA'];['Wir verschenken unser Billy-Bücherreal von IKEA. An der Rückwand sind leichte Kratzer.'];48151;['Geist'];16.07.2020   2020-07-23
['Aneboda weiß'];['Aneboda weiß mit Gebrauchsspuren zu verschenken. Zusätzlicher Einlegeboden liegt bei. Bohrungen an...'];48155;['Mauritz'];16.07.2020   2020-07-23
['Schreibtischtuhl'];['Schreibtischstuhl'];48143;['Centrum'];16.07.2020   2020-07-23
['(Fahrrad)Karton'];['Großer Karton zu verschenken.', 'Inkl. Kleinerer Kartons + Luftpolsterfolie', 'Im Karton sind noch...'];48159;['Centrum'];16.07.2020   2020-07-23
['13 Paar Socken und 1 Paar Crocs Gr. M6 / W8 mit Jibbiz Kinder'];['Habe 13 Paar gut erhaltene Socken ( keine Sneaker) in Gr. 38 - 40 und ein Paar getragene schwarze...'];48167;['Wolbeck'];16.07.2020   2020-07-23
['Reserviert Bücher Schlank im Schlaf Diät zu verschenken'];['Siehe bilder'];48165;['Hiltrup'];16.07.2020   2020-07-23
['Reserviert Gardine Acus 140×500 cm neu'];['Beide original verpackt'];48165;['Hiltrup'];16.07.2020   2020-07-23
['Polo 3  14 Zoll  Stahlfelgen 5 Loch 5J 14'];['3 x Polo 14 Zoll Stahlfelgen 5 Loch 5J14 mit gebrauchten Reifen 165/70 R14T', 'nur gegen Abholung...'];48165;['Hiltrup'];16.07.2020   2020-07-23
['Glas-Esstisch'];['Verschenke einen Glas-Esstisch (Durchmesser 120cm)', 'Glasplatte 15mm dick-Kanten angefast', '4...'];48165;['Hiltrup'];16.07.2020   2020-07-23
['Passat  15 Zoll Stahlfelgen 4 Stück'];['4 x 15 ZollStahlfelgen 5 Loch 6J - 15 H2 für Passat', 'mit alten Sommerreifen 195-65-R15', 'Zu...'];48165;['Hiltrup'];16.07.2020   2020-07-23
['ABLEGER Stecklinge Bogenhanf sanseviera trifasciata zimmerpflanze'];['Habe die Mutterpflanzw etwas ausgedünnt und Blätter, die nicht mehr ganz so schön waren...'];48145;['Centrum'];16.07.2020   2020-07-23
['Deutsch Sprache coach'];['Hallo zusammen,', '', 'ich suche nach einem Sprache Coach, um meine Deutsch aussprache zu...'];48145;['Centrum'];16.07.2020   2020-07-23
['Botanicals all nature mix zu verschenken'];['Ich habe diese 3 Proben geschenkt bekommen. Die eigenen sich für Zwergkaninchen, Meerschweinchen,...'];48163;['Mecklenbeck'];16.07.2020   2020-07-23
['Schöne Kommode in Nussbaum/Walnussbraun'];['Abholung bis Ende Juli möglich', 'Anfang August wandert die Kommode sonst leider in den...'];48149;['Centrum'];16.07.2020   2020-07-23
['Citroen jumper gut erhaltene Sitzbank zu verschenken'];['Verschenke hiermit gut erhaltene Sitzbank aus meinem Citroen jumper. Sicher auch passend für Fiat...'];48167;['Gremmendorf'];16.07.2020   2020-07-23
['Lattenrost Arcade NV 200x100'];['Verschenke das genannte Lattenrost. Es fehlt am Fußende eine Latte, ist aber ansonsten in einem...'];48161;['Gievenbeck'];16.07.2020   2020-07-23
['Trennwand Citroen jumper zu verschenken'];['Zweigeteilte Trennwand mit Fenster zu verschenken. Nur Abholung möglich. Passend für Citroen...'];48167;['Gremmendorf'];16.07.2020   2020-07-23
['Pkw Anhänger bis 750 kg'];['Suche ein günstigen Anhänger aus zum vertig machen aber mit Papiere'];48151;['Centrum'];16.07.2020   2020-07-23
['Schlafanzug'];['Sehr gut erhalten'];48161;['Gievenbeck'];16.07.2020   2020-07-23
['Monitor/Bildschirm'];['Monitor, Diagonale 42 cm .', 'nur Abholung'];48165;['Hiltrup'];16.07.2020   2020-07-23
['Glaswolle zu verschenken'];['gebrauchte Glaswolle zu verschenken', 'Decke ca. 120-150 mm', '', 'Kostenlos Lieferung in Münster 50...'];48147;['Centrum'];16.07.2020   2020-07-23
['Marketingbuch'];['Älteres aber vollständiges Sachbuch zu verschenken. Tel 0170 4011004'];48161;['Nienberge'];16.07.2020   2020-07-23
['Lernen heute'];['2 große Fachbücher zu verschenken. Verschiedene Inhalte. Tel 0170 4011004'];48161;['Nienberge'];16.07.2020   2020-07-23
['Erfolg durch positives Denken großzügiges Denken'];['Taschenbuch zu verschenken', 'Tel 0170 4011004'];48161;['Nienberge'];16.07.2020   2020-07-23
['Staubsauger Kleinteilfilter Filter'];['Ein Staubsauger Kleinteile Filter, neu mit original Verpackung.', 'Gerne gegen was zu knabbern oder...'];48163;['Amelsbüren'];16.07.2020   2020-07-23
['Lampe für Garten'];['Eine Lampe, Farbe weiß, funktioniert, zum aufhängen an der Wand, ohne leutmittel.', '', 'Gerne gegen eine...'];48163;['Amelsbüren'];16.07.2020   2020-07-23
['Pierre Cardin - Fusssack für Kinderwagen'];['Wir sind Tierfreie und Nichtraucher Haushalt.', 'Nur an Selbstabholer abzugeben.', '', 'Privatverkauf -...'];48147;['Wienburg'];16.07.2020   2020-07-23
['Golf plus Scheinwerfer links'];['Biete einen Scheinwerfer (links ) an.', '', 'Weiß nicht ob es noch funktioniert und deshalb verkaufe es...'];48163;['Amelsbüren'];16.07.2020   2020-07-23
['Polo und  Schirt 2XL-3XL - 9 Stück'];['Alles muss raus!', '', '4 Polo + 5 Schirt Gr. 2XL- 3XL', '', 'Wir sind Tierfreie und Nichtraucher Haushalt.', 'Nur...'];48147;['Wienburg'];16.07.2020   2020-07-23
['Stuhl zu verschenken'];['Lederstuhl zu verschenken.'];48149;['Centrum'];16.07.2020   2020-07-23
['Großer Schreibtisch zu verschenken.'];['Großer Arbeitstisch, Tischplatte ist zugeschnittene Spanplatte, der Unterbau ist aus Buche...'];48151;['Geist'];15.07.2020   2020-07-23
['auf der Suche nach kostenlosen barhockern'];['auf der Suche nach kostenlosen Barhockern für unser Gemeinschaftsgartenp\u200brojekt in Albachten'];48163;['Albachten'];15.07.2020   2020-07-23
['Bebivita Anfangsmilch Pre'];['Große Packung Anfangsmilch MHD 01.08.2020', 'Nur Abholung'];48165;['Hiltrup'];15.07.2020   2020-07-23
['Schreibtisch (Holz)'];['Zuverschenken Holz Tisch .......', '', 'Muss bis Sonntag weg !!', '', 'Sonst kommt’s auf den Sperrmüll'];48147;['Centrum'];15.07.2020   2020-07-23
['Waschmaschine Zu verschenken !'];['Voll funktionstüchtige Waschmaschine ca.15 Jahre alt. Abholung und Transport bitte selber...'];48163;['Mecklenbeck'];15.07.2020   2020-07-23
['Bastelbücher'];['Hallo, ich verschenke diese beiden Bastelbücher.', '', 'Ein Versand ist bei Kostenübernahme möglich.'];48145;['Mauritz'];15.07.2020   2020-07-23
['Karton für 42 Zoll-TV'];['Karton für 42 Zoll-TV zu verschenken. Nur Abholung.'];48165;['Hiltrup'];15.07.2020   2020-07-23
['Badezimmerteppich H&M Home 60x90cm'];['Durchs Waschen verfärbt, deshalb abzugeben'];48143;['Centrum'];15.07.2020   2020-07-23
['Schrankwand'];['dreiteilige Schrankwand mit Vitrine (Glasregalböden) und Regal in Erle', 'Fronten Erle massiv', 'Höhe 215...'];48165;['Hiltrup'];15.07.2020   2020-07-23
['Pre Nahrung'];['Kontaktlose Übergabe.. Wird zur Abholung vor die Haustür gestellt.', '', 'Bis 08.20 haltbar. Ungeöffnet.'];48163;['Mecklenbeck'];15.07.2020   2020-07-23
['12 V Netzteil Laptop TV'];['Netzteil Laptop TV 12 V 3 A voll funktionstüchtig und unbenutzt'];48167;['Angelmodde'];15.07.2020   2020-07-23
['Ikea Bild (neuwertig)'];['Ikea Bild', '(Neuwertig)'];48155;['Mauritz'];15.07.2020   2020-07-23
['Gartenteich zu verschenken'];['Wir bieten kostenlos an “Selbstausbuddler” einen Gartenteich (ca. 2 x 2 Meter, Tiefe 50 -100 cm)....'];48147;['Centrum'];15.07.2020   2020-07-23
['Trennwand T5 mit Schiebefenster nur oberes Teil'];['Ausgebaute T5 Trennwand mit Schiebefenster.', 'Voll funktionstüchtig.', 'Nur das obere Teil.', '', 'Abholung...'];48161;['Nienberge'];15.07.2020   2020-07-23
['Taekwondo Anzug'];['Nur ein Gürtel dabei'];48155;['Gremmendorf'];15.07.2020   2020-07-23
['Teakwodo Anzug 140 für Kinder'];['Nur Abholen habe noch 2 andere hier'];48155;['Gremmendorf'];15.07.2020   2020-07-23
['Diverse Bücher'];['Diverse Bücher zu verschenken', '', 'Abholung kein Versand'];48157;['Handorf'];15.07.2020   2020-07-23
['Toilettenpapierhalter IKEA'];['zu verschenken'];48149;['Centrum'];24.07.2020 13:34
['Bodenfliesen'];['Ich verschenke hier 25 - 30 qm Bodenfliesen 20x20 cm zur Selbstabholung. Die Fliesen stammen ca....'];48165;['Hiltrup'];24.07.2020 13:33
['Duschgel & Bodylotion zu verschenken'];['Hallo zusammen,', '', 'Ich verschenke verschiedene Duschgels und Bodylotions.', '', 'Bei Interesse schreibt mir...'];48151;['Geist'];24.07.2020 13:33
['Hochwertige Natursteine zu verschenken'];['Jahrelang waren sie das Mäuerchen zum Rasen. Jetzt versperren sie uns den Blick auf unser neues...'];48167;['Gremmendorf'];24.07.2020 13:11
['2 Schabracken (full; DR);48147;['Wienburg'];24.07.2020 13:08
['Wandregal (ohne Inhalt)'];['Wir verschenken das abgebildete Wandregal - so weit die Erinnerung stimmt, wurde es im Dänischen...'];48163;['Mecklenbeck'];24.07.2020 13:05
['Bebivita anfangsmilch 1'];['Wir benötigen sie nicht mehr vielleicht kann sie ja jemand noch gebrauchen , sie ist ungeöffnet:)'];48167;['Gremmendorf'];24.07.2020 12:23
['Defekte Waschmaschine Gorenje zu verschenken'];['Verschenke eine Waschmaschine von Gorenje. Stromversorgung ist gegeben, macht beim drehen aber...'];48153;['Centrum'];24.07.2020 12:20
['Gartensessel Eigenbau zu verschenken'];['Höhe ca. 115 cm, Breite ca 100 cm, Tiefe ca 84 cm', 'Sessel zu verschenken ist selbst gebaut,', 'Könnte...'];48157;['Handorf'];24.07.2020 12:16
['Grüner Teppich gebraucht >13m^2'];['Grüner zotteliger Teppich, gebraucht aber gut erhalten, rechteckige Grundfläche 2,9x4,5m plus ein...'];48155;['Centrum'];24.07.2020 12:04
['Betonsteine (reserviert)'];['Ich verschenke 9 Betonsteine in 40 x 40 cm (Höhe: 5 cm) an Selbstabholer.'];48163;['Mecklenbeck'];24.07.2020 12:03
['Schöne Holzkommode'];['Da wir in einigen Tagen umziehen und keinen Platz für diese Kommode mehr haben, darf sie gerne...'];48149;['Centrum'];24.07.2020 12:01
['Pes 10 (PC)'];['Zuverschenken !!', 'Inklusive Versand 3€ !'];48147;['Centrum'];24.07.2020 11:52
['Obstgarten von haba'];['Obstgarten von haba, leider fehlt ein Körbchen und eine pflaume Karton hat gebrauchs Spuren'];48159;['Kinderhaus'];24.07.2020 11:46
['Eine Leuchte über den Esstisch'];['Ich habe zu Zeit kein Foto,bei Interesse versuche ich eins zu schicken.', 'Die Leuchte is noch nicht...'];48167;['Gremmendorf'];24.07.2020 11:40
['Verschiedenes'];['Kann gerne heute Abend oder morgen Nachmittag abgeholt werden.'];48165;['Hiltrup'];24.07.2020 11:15
['Set Pullover und Jeggings'];['Ungenutztes ( nur vorgewaschen) Set von Babyclub ( c&a) in Größe 68. Jetzt viel zu...'];48149;['Centrum'];24.07.2020 11:10
['Spülmaschine von Siemens SX66M058EU/50'];['Verschenke eine Spülmaschine von Siemens, Modell SX66M058EU/50', 'Körbe sind nicht mehr vorhanden...'];48143;['Centrum'];24.07.2020 11:05
['Umzugskartons im Hafen4tel'];['Unser Umzug steht nächste Woche an, aber wir brauch noch Umzugskartons! Der Umwelt zuliebe wollten...'];48155;['Centrum'];24.07.2020 11:04
['Verschenke Spülmaschine'];['Spülmaschine pumpt das Wasser manchmal nicht ab.', 'Sonst funktioniert sie.', 'Trotzdem wird sie an...'];48143;['Centrum'];24.07.2020 11:02
